Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Expense Type 1,Expense Type 2,Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property ID,Property Age,Property Type,Property Location,Co-Applicant,Property Price,Loan Sanction Amount (USD)
F,21,2883.2,Low,Commercial associate,Medicine staff,Semi-Urban,72521.75,363.67,N,Y,2.0,689.72,0,Inactive,45,2883.2,3,Urban,1,104031.64,47139.14
M,18,2449.85,Low,State servant,Core staff,Semi-Urban,25999.27,248.72,Y,Y,2.0,641.1,0,Active,658,2449.85,3,Rural,0,44728.62,0.0
M,62,2287.77,Low,Working,Medicine staff,Semi-Urban,42109.34,214.94,Y,Y,1.0,721.94,0,Inactive,701,2287.77,1,Rural,1,63782.23,29476.54
F,30,932.66,Low,Commercial associate,Core staff,Semi-Urban,38768.74,208.89,Y,N,2.0,645.85,0,Active,958,932.66,4,Semi-Urban,0,59789.34,0.0
M,24,1580.38,Low,Working,Core staff,Semi-Urban,66041.19,325.89,N,N,4.0,717.92,0,Active,305,1580.38,2,Semi-Urban,1,100265.3,46228.83
F,43,1898.3,Low,Working,Sales staff,Urban,56846.27,264.93,N,N,3.0,760.38,0,Inactive,786,1898.3,1,Rural,1,69897.45,45477.02
F,18,3297.34,Low,Commercial associate,Laborers,Semi-Urban,42734.31,155.53,Y,Y,2.0,705.62,1,Active,561,3297.34,3,Rural,1,65589.63,27777.3
F,35,1226.99,Low,State servant,Core staff,Semi-Urban,175099.2,679.14,N,N,3.0,725.27,0,Active,179,1226.99,1,Rural,1,327410.03,113814.48
M,27,808.99,Low,Working,Cleaning staff,Semi-Urban,69900.5,360.05,N,N,3.0,621.46,0,Inactive,205,808.99,3,Semi-Urban,1,81536.25,0.0
F,48,3749.93,Low,Working,Managers,Urban,243070.76,926.68,Y,Y,2.0,823.3,0,Unpossessed,951,3749.93,1,Semi-Urban,1,401539.89,170149.53
F,48,1988.7,Low,Working,Laborers,Semi-Urban,10288.91,82.87,Y,Y,2.0,760.83,1,Inactive,597,1988.7,4,Urban,0,15578.82,0.0
F,28,2897.88,Low,Working,Laborers,Rural,45549.57,254.02,Y,Y,4.0,648.32,0,Unpossessed,411,2897.88,2,Rural,1,56272.16,0.0
M,38,2056.73,Low,Working,Laborers,Semi-Urban,105478.19,554.39,N,Y,2.0,801.17,0,Active,922,2056.73,2,Semi-Urban,0,188377.48,0.0
F,50,3174.77,Low,Commercial associate,High skill tech staff,Semi-Urban,108773.16,1017.62,N,Y,1.0,806.07,0,Unpossessed,950,3174.77,2,Urban,1,169358.42,81579.87
M,60,2598.44,Low,Commercial associate,Managers,Semi-Urban,65460.12,331.61,N,N,4.0,674.24,0,Active,115,2598.44,3,Urban,1,87822.4,0.0
F,33,1755.54,Low,State servant,Core staff,Semi-Urban,88693.3,338.64,N,Y,3.0,853.77,0,Unpossessed,237,1755.54,2,Semi-Urban,1,123934.6,79823.97
F,29,5303.2,Low,Commercial associate,Private service staff,Urban,267691.8,750.94,N,Y,2.0,867.36,0,Active,817,5303.2,1,Urban,1,495561.75,200768.85
M,41,5165.61,Low,Working,Managers,Semi-Urban,202917.09,875.51,Y,N,1.0,786.95,0,Inactive,741,5165.61,2,Urban,1,344587.01,162333.67
F,52,2179.02,Low,Working,Core staff,Semi-Urban,140342.57,359.92,Y,N,2.0,735.28,0,Active,852,2179.02,1,Urban,1,198841.28,91222.67
M,21,2393.7,Low,Working,Laborers,Semi-Urban,41605.6,192.81,N,N,2.0,694.54,1,Unpossessed,610,2393.7,1,Rural,0,69251.45,0.0
M,57,3563.55,Low,State servant,Core staff,Rural,51600.43,420.77,N,Y,2.0,864.76,0,Inactive,89,3563.55,4,Semi-Urban,1,60832.07,38700.32
F,18,4031.91,Low,Working,Accountants,Semi-Urban,129053.41,503.35,Y,Y,4.0,823.69,1,Inactive,626,4031.91,2,Rural,1,238074.44,103242.73
F,29,3918.95,Low,Working,High skill tech staff,Semi-Urban,228152.54,661.0,Y,Y,2.0,678.07,0,Active,724,3918.95,3,Urban,1,365906.51,148299.15
F,27,1832.43,Low,Working,Sales staff,Semi-Urban,67874.96,377.43,N,Y,1.0,604.83,0,Active,551,1832.43,1,Semi-Urban,1,97865.97,-999.0
M,62,2240.48,Low,State servant,Core staff,Semi-Urban,78459.01,339.96,N,N,1.0,698.46,1,Inactive,101,2240.48,1,Urban,1,117576.81,54921.31
F,39,2446.34,Low,Working,High skill tech staff,Semi-Urban,49719.39,252.34,N,N,3.0,738.68,0,Active,815,2446.34,3,Urban,1,86368.08,0.0
M,52,3231.69,Low,Working,Drivers,Urban,138331.38,716.68,Y,Y,2.0,711.53,0,Active,89,3231.69,4,Semi-Urban,1,240555.25,96831.97
F,57,4001.1,Low,Commercial associate,Sales staff,Semi-Urban,163649.8,832.33,Y,Y,2.0,716.55,0,Inactive,760,4001.1,4,Semi-Urban,1,184231.03,114554.86
F,61,2372.57,Low,Working,Managers,Semi-Urban,103946.73,1063.6,N,Y,3.0,765.84,0,Unpossessed,307,2372.57,1,Semi-Urban,0,175193.11,0.0
F,18,1785.04,Low,Commercial associate,Sales staff,Semi-Urban,54821.55,144.19,N,Y,3.0,681.42,0,Active,979,1785.04,2,Semi-Urban,1,102125.75,38375.08
F,22,2489.9,Low,Working,Low-skill Laborers,Semi-Urban,39179.74,397.44,N,Y,2.0,619.08,0,Unpossessed,927,2489.9,4,Rural,0,62377.87,0.0
F,43,1574.86,Low,Commercial associate,Medicine staff,Semi-Urban,64828.11,545.74,N,Y,2.0,710.2,0,Inactive,545,1574.86,2,Rural,1,111216.08,45379.68
F,47,2006.65,Low,Working,Private service staff,Semi-Urban,65084.7,636.48,N,Y,1.0,780.8,0,Active,72,2006.65,2,Semi-Urban,1,89484.92,45559.29
F,62,1979.41,Low,Working,Laborers,Rural,93120.49,321.36,Y,Y,2.0,816.24,0,Active,916,1979.41,4,Semi-Urban,1,115075.24,69840.37
F,18,2328.65,Low,Working,Private service staff,Semi-Urban,38824.94,220.59,N,N,3.0,666.41,0,Unpossessed,891,2328.65,3,Semi-Urban,1,59340.74,25236.21
F,50,6111.32,Low,State servant,Managers,Semi-Urban,221555.26,843.01,N,N,2.0,887.44,0,Inactive,22,6111.32,1,Rural,0,284799.69,188321.97
F,44,2773.5,Low,Commercial associate,Laborers,Semi-Urban,128213.29,650.53,N,Y,3.0,645.29,1,Active,723,2773.5,2,Rural,1,193734.11,0.0
M,56,2565.33,Low,Working,Accountants,Semi-Urban,39618.89,329.27,N,N,2.0,738.81,0,Inactive,173,2565.33,1,Urban,0,48096.41,0.0
F,42,3527.75,Low,Commercial associate,Accountants,Urban,200609.69,610.32,N,Y,1.0,824.71,0,Inactive,675,3527.75,2,Urban,1,361543.16,150457.27
M,59,1222.92,Low,Commercial associate,High skill tech staff,Semi-Urban,21802.72,208.41,N,Y,2.0,839.68,0,Inactive,139,1222.92,2,Rural,1,33114.69,17442.18
M,21,1968.25,Low,State servant,Core staff,Semi-Urban,124557.22,593.28,Y,Y,3.0,759.47,0,Inactive,759,1968.25,1,Semi-Urban,0,165277.29,0.0
M,63,2506.53,Low,Commercial associate,Core staff,Urban,74886.58,603.98,Y,Y,2.0,792.8,1,Active,880,2506.53,4,Semi-Urban,1,97921.06,59909.26
F,37,1918.47,Low,State servant,Accountants,Semi-Urban,27133.88,133.97,N,Y,2.0,742.25,1,Active,413,1918.47,2,Urban,1,40898.92,18993.72
F,24,2914.41,Low,Working,Core staff,Semi-Urban,128350.71,480.69,Y,Y,4.0,694.69,0,Inactive,132,2914.41,1,Semi-Urban,1,235077.43,89845.5
M,53,1436.02,Low,Working,Sales staff,Semi-Urban,31061.05,380.85,N,Y,3.0,628.21,0,Active,609,1436.02,1,Urban,1,49345.2,0.0
F,39,2100.78,Low,Working,Laborers,Semi-Urban,210569.27,537.7,Y,N,1.0,699.5,0,Active,936,2100.78,1,Semi-Urban,1,391691.7,147398.49
F,48,2009.69,Low,Commercial associate,Laborers,Rural,77936.24,364.3,N,N,2.0,674.24,0,Inactive,312,2009.69,2,Rural,1,137987.89,54555.37
M,58,2474.46,Low,Working,High skill tech staff,Rural,123033.32,702.78,N,Y,3.0,662.98,0,Active,318,2474.46,4,Semi-Urban,1,204391.73,0.0
M,50,2269.57,Low,Working,Sales staff,Semi-Urban,31496.56,161.63,N,Y,1.0,869.53,0,Active,882,2269.57,3,Semi-Urban,1,36177.03,23622.42
M,37,1217.96,Low,Working,Laborers,Semi-Urban,35383.54,193.87,Y,Y,4.0,680.22,0,Unpossessed,488,1217.96,4,Urban,1,44979.51,22999.3
M,18,2471.43,Low,Working,Sales staff,Semi-Urban,51539.54,430.8,N,Y,3.0,660.69,0,Active,432,2471.43,2,Semi-Urban,1,76839.63,0.0
F,47,1935.34,Low,Working,Core staff,Semi-Urban,75096.04,472.18,N,N,1.0,754.14,0,Active,613,1935.34,3,Urban,1,133221.0,56322.03
M,47,3059.72,Low,Working,Laborers,Urban,36804.9,253.34,N,Y,2.0,736.05,0,Unpossessed,50,3059.72,1,Rural,1,43694.02,23923.18
F,54,3496.84,Low,Working,Drivers,Semi-Urban,80433.21,476.15,Y,N,4.0,691.41,0,Inactive,140,3496.84,1,Rural,1,136536.16,52281.59
F,38,2470.92,Low,Working,Laborers,Semi-Urban,67035.28,471.49,Y,Y,3.0,654.72,0,Unpossessed,685,2470.92,3,Urban,1,89973.33,43572.93
F,18,2284.96,Low,Commercial associate,Core staff,Urban,77848.93,531.7,Y,N,3.0,779.6,0,Unpossessed,558,2284.96,2,Rural,1,142637.15,62279.14
M,37,3039.35,Low,Working,Managers,Semi-Urban,108285.75,726.35,N,Y,3.0,832.81,0,Unpossessed,549,3039.35,4,Rural,0,198716.3,0.0
F,45,3182.75,Low,Working,Managers,Semi-Urban,86532.58,400.39,Y,Y,2.0,760.36,1,Active,889,3182.75,2,Semi-Urban,1,124006.95,60572.81
M,52,1301.39,Low,Working,Laborers,Rural,55058.63,294.25,N,Y,2.0,609.58,0,Unpossessed,543,1301.39,2,Semi-Urban,0,65999.95,0.0
F,54,2829.92,Low,Working,Core staff,Semi-Urban,81833.68,411.94,N,N,2.0,605.72,0,Unpossessed,507,2829.92,4,Rural,1,137634.26,0.0
M,25,2677.74,Low,Commercial associate,Laborers,Urban,58654.1,305.06,N,N,1.0,668.92,1,Unpossessed,169,2677.74,2,Urban,0,94190.04,0.0
M,26,2448.92,Low,Working,Drivers,Semi-Urban,106053.1,293.51,N,Y,1.0,767.06,1,Inactive,695,2448.92,1,Urban,1,152697.58,79539.83
M,36,2463.38,Low,Commercial associate,Sales staff,Semi-Urban,184691.61,472.35,N,N,3.0,742.1,1,Inactive,147,2463.38,2,Rural,0,222690.41,0.0
M,18,2070.05,Low,Working,Laborers,Semi-Urban,97552.93,423.33,N,N,1.0,688.22,1,Unpossessed,706,2070.05,2,Urban,1,180011.26,68287.05
M,40,2290.23,Low,Working,Sales staff,Semi-Urban,187549.77,520.96,N,N,2.0,818.57,0,Active,505,2290.23,1,Semi-Urban,1,225383.69,140662.33
F,35,2441.55,Low,Working,Laborers,Semi-Urban,109977.26,457.87,N,N,2.0,611.05,0,Inactive,87,2441.55,1,Semi-Urban,1,187010.09,0.0
M,18,16445.89,Low,Working,Laborers,Semi-Urban,165244.19,662.65,N,Y,3.0,807.25,0,Active,133,16445.89,2,Semi-Urban,1,183029.3,115670.93
M,39,3065.58,Low,Commercial associate,Managers,Rural,53560.4,588.88,Y,Y,3.0,737.91,0,Unpossessed,380,3065.58,3,Semi-Urban,1,97834.03,34814.26
F,31,2117.34,Low,Working,Drivers,Semi-Urban,44412.92,202.42,N,N,3.0,648.75,0,Active,403,2117.34,3,Semi-Urban,1,66170.52,0.0
F,37,3263.92,Low,Working,Sales staff,Semi-Urban,71787.03,665.3,N,Y,2.0,795.68,0,Active,630,3263.92,2,Semi-Urban,1,106971.2,53840.27
F,38,1386.66,Low,Working,Security staff,Semi-Urban,23681.91,248.3,N,Y,3.0,698.06,0,Inactive,602,1386.66,4,Semi-Urban,1,29480.02,15393.24
F,34,2729.38,Low,Working,Sales staff,Semi-Urban,239032.67,839.91,N,N,2.0,758.45,0,Active,62,2729.38,2,Urban,1,290585.66,191226.14
M,58,3679.94,Low,Working,Laborers,Semi-Urban,149698.0,882.7,Y,N,3.0,675.83,0,Unpossessed,342,3679.94,1,Urban,1,257606.82,104788.6
F,18,3523.54,Low,State servant,Core staff,Semi-Urban,101594.29,377.74,Y,N,2.0,818.77,0,Inactive,577,3523.54,3,Semi-Urban,0,167505.49,0.0
F,39,8376.15,Low,Commercial associate,Managers,Rural,308878.22,733.21,Y,Y,3.0,814.83,0,Inactive,422,8376.15,2,Rural,1,373459.71,216214.75
M,63,1657.62,Low,Working,Sales staff,Semi-Urban,14208.28,163.43,N,N,2.0,602.23,0,Unpossessed,787,1657.62,2,Semi-Urban,0,21355.18,0.0
M,18,2655.82,Low,Commercial associate,Accountants,Semi-Urban,90336.14,475.57,N,N,1.0,828.46,0,Active,786,2655.82,1,Rural,1,144702.71,-999.0
M,52,2065.72,Low,Commercial associate,Medicine staff,Rural,43087.43,142.85,Y,N,2.0,663.26,0,Active,184,2065.72,4,Rural,1,59542.36,30161.2
M,19,1359.93,Low,Working,Drivers,Rural,28303.85,344.01,N,N,2.0,704.78,0,Inactive,613,1359.93,3,Urban,1,51119.14,0.0
F,52,2766.89,Low,Working,Drivers,Urban,129602.27,403.55,Y,Y,2.0,799.78,0,Inactive,808,2766.89,2,Rural,1,155296.32,0.0
F,37,1725.24,Low,Working,Laborers,Semi-Urban,97289.75,320.13,N,Y,2.0,767.46,0,Unpossessed,257,1725.24,4,Urban,0,138471.69,0.0
F,18,1680.98,Low,Working,Private service staff,Semi-Urban,56910.92,595.62,Y,Y,2.0,703.71,0,Active,913,1680.98,4,Rural,0,77343.49,0.0
F,53,4222.52,Low,Commercial associate,Drivers,Semi-Urban,43987.04,494.48,Y,Y,1.0,598.12,1,Inactive,271,4222.52,2,Urban,0,79590.1,0.0
M,34,3653.11,Low,Working,Core staff,Semi-Urban,106100.61,474.79,Y,Y,2.0,869.73,1,Inactive,406,3653.11,2,Rural,1,117924.59,79575.46
F,25,2123.85,Low,Commercial associate,Sales staff,Semi-Urban,116828.18,556.02,N,Y,2.0,714.2,0,Inactive,266,2123.85,4,Urban,0,148822.31,0.0
F,58,6551.6,Low,Working,Managers,Semi-Urban,174204.23,496.31,N,Y,2.0,808.27,0,Active,770,6551.6,4,Urban,1,297945.94,130653.17
M,23,1343.22,Low,State servant,Core staff,Semi-Urban,42083.87,216.17,Y,N,1.0,663.19,0,Inactive,365,1343.22,3,Semi-Urban,1,57067.48,27354.52
M,18,1587.07,Low,State servant,Accountants,Semi-Urban,32175.64,208.95,N,Y,4.0,792.33,0,Unpossessed,771,1587.07,3,Rural,1,57805.63,25740.51
F,51,4852.59,Low,Commercial associate,Managers,Urban,180843.98,569.15,N,Y,2.0,778.61,0,Active,513,4852.59,4,Urban,1,279980.49,126590.79
F,18,984.31,Low,Working,Security staff,Semi-Urban,58723.38,305.47,N,Y,1.0,649.3,0,Unpossessed,870,984.31,4,Semi-Urban,0,92449.99,0.0
M,27,1350.45,Low,Working,Core staff,Semi-Urban,19248.77,204.97,N,Y,1.0,870.78,0,Active,966,1350.45,3,Rural,1,32731.93,17323.89
M,26,1604.46,Low,Working,Sales staff,Semi-Urban,62112.32,273.34,N,N,2.0,736.54,0,Inactive,341,1604.46,1,Urban,1,101228.23,0.0
M,53,1415.05,Low,Working,Sales staff,Rural,171348.32,788.73,N,Y,2.0,762.11,0,Active,174,1415.05,4,Urban,1,314203.34,137078.66
F,19,1941.62,Low,State servant,Core staff,Semi-Urban,63501.53,178.4,N,N,2.0,712.48,0,Unpossessed,200,1941.62,1,Urban,1,114192.79,41275.99
M,32,4266.57,Low,Working,Sales staff,Semi-Urban,181909.9,595.12,Y,Y,2.0,725.15,0,Inactive,114,4266.57,3,Urban,1,281257.19,127336.93
M,21,1984.32,Low,Working,Drivers,Semi-Urban,90857.67,479.49,Y,Y,2.0,775.57,0,Inactive,161,1984.32,2,Semi-Urban,1,119869.89,0.0
F,43,1758.0,Low,State servant,Drivers,Semi-Urban,10170.77,105.26,N,Y,1.0,674.02,1,Unpossessed,230,1758.0,1,Rural,1,-999.0,7119.54
M,43,2383.07,Low,Working,Sales staff,Rural,89092.42,203.88,Y,Y,2.0,671.07,1,Unpossessed,753,2383.07,3,Rural,0,124152.86,0.0
M,59,2023.66,Low,Working,Sales staff,Semi-Urban,67710.62,241.78,Y,Y,1.0,654.89,1,Active,839,2023.66,2,Rural,1,88052.94,47397.43
F,18,1512.29,Low,Working,Laborers,Semi-Urban,40052.62,271.06,Y,Y,4.0,710.75,0,Unpossessed,744,1512.29,4,Semi-Urban,0,51143.34,0.0
M,39,2660.33,Low,Working,Accountants,Semi-Urban,82848.48,472.65,Y,N,3.0,798.21,0,Inactive,916,2660.33,4,Semi-Urban,1,143010.43,66278.78
F,38,1071.59,Low,Working,Sales staff,Semi-Urban,29134.67,168.01,N,N,3.0,790.79,0,Active,746,1071.59,4,Rural,1,34090.72,20394.27
M,64,1844.17,Low,Commercial associate,High skill tech staff,Urban,35226.52,415.33,N,N,3.0,615.06,0,Inactive,294,1844.17,1,Semi-Urban,0,55308.14,0.0
M,21,3412.77,Low,Working,Laborers,Rural,81412.6,381.43,N,N,2.0,772.83,0,Unpossessed,475,3412.77,2,Urban,1,125042.71,0.0
F,58,1252.88,Low,Commercial associate,Drivers,Rural,14631.8,159.34,Y,N,1.0,633.57,1,Active,458,1252.88,1,Urban,1,22191.25,0.0
M,64,2123.18,Low,Working,Waiters/barmen staff,Semi-Urban,38256.24,285.63,N,Y,4.0,680.85,0,Unpossessed,416,2123.18,3,Urban,1,49544.97,24866.56
F,55,4691.11,Low,Commercial associate,Managers,Semi-Urban,187576.22,738.08,N,N,2.0,848.38,0,Active,677,4691.11,3,Urban,1,226095.71,150060.98
M,61,1841.86,Low,Working,Laborers,Semi-Urban,74262.89,432.25,Y,Y,1.0,850.6,1,Unpossessed,417,1841.86,3,Rural,1,139779.55,51984.02
F,18,1684.38,Low,Working,Laborers,Semi-Urban,41655.6,202.29,Y,Y,4.0,733.69,1,Unpossessed,920,1684.38,2,Semi-Urban,1,51738.59,27076.14
M,54,2135.61,Low,Working,Laborers,Semi-Urban,134300.15,525.99,N,Y,2.0,685.46,1,Inactive,221,2135.61,2,Rural,1,212886.87,0.0
F,57,2233.95,Low,Commercial associate,Sales staff,Urban,58691.34,297.32,Y,N,2.0,667.57,0,Unpossessed,276,2233.95,4,Rural,1,105318.57,41083.94
F,38,2421.57,Low,State servant,Core staff,Rural,117466.58,391.89,Y,Y,1.0,711.43,0,Unpossessed,640,2421.57,1,Rural,1,148654.39,76353.28
M,24,2738.25,Low,Commercial associate,Sales staff,Semi-Urban,98400.19,423.41,Y,N,4.0,771.52,0,Unpossessed,913,2738.25,4,Rural,1,185006.86,73800.14
F,24,2221.28,Low,Commercial associate,Private service staff,Urban,83493.62,407.84,N,Y,2.0,783.81,0,Unpossessed,812,2221.28,3,Semi-Urban,1,106984.89,62620.22
F,30,1097.18,Low,Working,Cooking staff,Semi-Urban,58080.89,309.39,N,Y,2.0,655.89,0,Active,381,1097.18,4,Semi-Urban,1,76938.58,40656.62
M,20,1546.17,Low,State servant,Secretaries,Semi-Urban,16333.71,146.94,N,Y,2.0,798.24,0,Unpossessed,472,1546.17,3,Rural,1,27999.61,0.0
F,18,1554.17,Low,Working,High skill tech staff,Semi-Urban,37475.05,297.61,Y,N,2.0,734.87,0,Active,735,1554.17,2,Semi-Urban,1,61465.1,26232.54
M,18,3468.65,Low,Working,Security staff,Semi-Urban,96957.03,596.14,Y,Y,3.0,654.56,0,Active,528,3468.65,3,Urban,1,159179.52,63022.07
F,48,1025.11,Low,Working,Laborers,Semi-Urban,23653.36,166.01,N,N,2.0,705.91,1,Active,520,1025.11,2,Semi-Urban,1,41318.97,15374.68
F,60,5731.85,Low,Working,Laborers,Urban,94284.09,422.64,Y,Y,3.0,657.15,0,Unpossessed,467,5731.85,2,Urban,1,163042.92,61284.66
F,19,2034.07,Low,Working,Laborers,Rural,207823.19,649.2,N,N,2.0,726.9,0,Active,634,2034.07,2,Rural,1,338697.53,145476.23
M,31,1265.9,Low,Working,Laborers,Semi-Urban,22284.65,250.92,N,N,3.0,678.85,0,Inactive,456,1265.9,3,Rural,1,25315.54,14485.02
M,64,1475.54,Low,Working,Sales staff,Rural,67428.73,341.12,N,N,4.0,678.65,0,Active,698,1475.54,4,Urban,1,93505.7,47200.11
M,38,1675.67,Low,Working,Laborers,Semi-Urban,80629.28,266.28,Y,N,2.0,636.74,1,Inactive,473,1675.67,3,Urban,1,113277.14,0.0
M,18,1553.98,Low,Commercial associate,Laborers,Rural,21982.38,117.13,N,N,2.0,814.37,1,Active,679,1553.98,3,Urban,1,33469.21,16486.78
F,18,869.13,Low,Working,High skill tech staff,Semi-Urban,12985.83,136.33,N,N,3.0,671.39,0,Active,170,869.13,4,Rural,1,23311.56,9090.08
M,40,2926.4,Low,Commercial associate,High skill tech staff,Semi-Urban,80447.85,405.03,Y,Y,4.0,660.13,0,Inactive,933,2926.4,2,Rural,1,137557.98,56313.5
F,18,2533.56,Low,State servant,Core staff,Semi-Urban,67352.69,332.47,Y,Y,2.0,719.85,1,Unpossessed,711,2533.56,3,Urban,0,97539.42,0.0
F,41,2094.25,Low,Working,Core staff,Semi-Urban,48297.48,403.73,N,Y,2.0,752.22,1,Unpossessed,723,2094.25,2,Rural,1,63885.55,38637.98
M,28,1031.12,Low,Working,Cleaning staff,Semi-Urban,15770.88,104.96,N,Y,2.0,801.86,0,Inactive,264,1031.12,3,Semi-Urban,0,18897.59,0.0
F,51,1838.33,Low,Working,Private service staff,Semi-Urban,19530.89,222.99,N,Y,3.0,767.42,0,Unpossessed,870,1838.33,4,Semi-Urban,1,30308.79,14648.17
M,50,1961.48,Low,Working,Laborers,Semi-Urban,126936.41,345.55,Y,N,3.0,688.75,0,Unpossessed,772,1961.48,4,Rural,1,199457.72,88855.49
M,47,2499.12,Low,Working,Laborers,Semi-Urban,108197.89,635.12,Y,Y,4.0,766.97,0,Inactive,446,2499.12,4,Semi-Urban,1,202732.09,81148.42
F,41,1018.9,Low,Working,Core staff,Rural,16121.55,69.36,N,Y,4.0,691.23,0,Active,994,1018.9,2,Urban,1,26341.0,10479.01
F,43,1865.35,Low,Working,Sales staff,Semi-Urban,167330.97,936.61,N,Y,3.0,816.37,1,Active,963,1865.35,1,Rural,1,275577.5,117131.68
M,32,1814.94,Low,Working,Laborers,Semi-Urban,37846.46,403.03,N,Y,2.0,753.17,0,Inactive,418,1814.94,1,Rural,1,42032.12,0.0
F,53,2128.66,Low,Commercial associate,Realty agents,Semi-Urban,81808.17,420.67,N,N,1.0,815.62,0,Unpossessed,363,2128.66,2,Urban,0,153796.53,0.0
F,36,2273.9,Low,Commercial associate,Security staff,Semi-Urban,181027.24,507.94,N,Y,3.0,750.4,0,Unpossessed,22,2273.9,1,Rural,1,280914.35,126719.07
F,57,4344.68,Low,Commercial associate,Managers,Urban,286587.05,824.96,Y,Y,2.0,803.81,0,Active,791,4344.68,1,Rural,1,518676.65,214940.29
M,51,1235.22,Low,Working,Laborers,Urban,34071.79,130.3,N,N,2.0,746.88,1,Unpossessed,319,1235.22,1,Semi-Urban,1,46177.21,22146.66
F,18,1771.91,Low,Working,Drivers,Semi-Urban,37664.07,195.45,Y,Y,2.0,843.35,0,Active,224,1771.91,3,Semi-Urban,1,67159.88,30131.26
M,28,1911.45,Low,Working,Secretaries,Semi-Urban,40867.61,205.87,Y,N,1.0,746.51,0,Inactive,388,1911.45,3,Rural,1,75091.46,28607.33
F,18,1735.45,Low,Working,Waiters/barmen staff,Semi-Urban,43735.34,299.16,N,Y,2.0,626.74,0,Unpossessed,542,1735.45,4,Rural,1,59645.65,0.0
F,20,1883.31,Low,Commercial associate,Private service staff,Semi-Urban,157827.03,523.41,Y,N,4.0,771.76,0,Inactive,161,1883.31,2,Semi-Urban,1,274518.17,126261.62
M,48,2174.0,Low,Working,Accountants,Semi-Urban,58004.68,316.52,Y,Y,2.0,832.0,0,Active,791,2174.0,1,Rural,1,78978.78,0.0
M,32,8308.27,Low,Commercial associate,Managers,Urban,75696.52,418.6,Y,Y,3.0,784.91,0,Inactive,816,8308.27,3,Semi-Urban,1,106908.58,52987.56
M,57,3837.24,Low,Commercial associate,Core staff,Semi-Urban,172498.59,483.8,N,Y,2.0,810.51,0,Active,731,3837.24,1,Urban,1,244775.89,120749.01
M,58,2086.25,Low,Commercial associate,Security staff,Rural,102581.46,317.51,N,N,2.0,767.89,1,Inactive,525,2086.25,1,Rural,1,163584.59,76936.1
M,53,2142.61,Low,Working,Core staff,Semi-Urban,169125.31,744.51,N,N,2.0,707.32,0,Active,484,2142.61,1,Semi-Urban,1,233467.88,118387.72
F,57,3040.46,Low,Working,Laborers,Semi-Urban,67524.57,307.96,Y,N,2.0,599.62,1,Inactive,841,3040.46,2,Rural,1,112792.47,0.0
M,55,1649.42,Low,Working,Core staff,Semi-Urban,86246.62,262.87,Y,Y,2.0,816.98,0,Inactive,363,1649.42,2,Urban,1,120126.84,64684.96
M,22,2356.56,Low,Working,Sales staff,Semi-Urban,7034.73,48.6,N,Y,2.0,645.17,0,Unpossessed,782,2356.56,3,Semi-Urban,0,9008.29,0.0
M,43,1244.35,Low,Working,Laborers,Semi-Urban,54326.84,254.27,N,Y,2.0,788.27,0,Active,354,1244.35,3,Rural,1,77783.82,43461.47
M,18,3390.14,Low,Working,Laborers,Rural,177547.79,515.38,N,N,3.0,808.75,1,Inactive,314,3390.14,2,Urban,1,249825.71,124283.45
